energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
6.5,0.3,0.0903,0.02692452413692766,0.0000000003,130.141,0.00000000045,123.793,[E1],,,41.2,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.60,10,88,135,Ra,1-May-2001,E. BROWNE,2025-12-15
8.15,0.2,0.00774,0.0026630809225406575,,350.53,0.00000000005,342.590,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.60,10,88,135,Ra,1-May-2001,E. BROWNE,2025-12-15
20.25,0.05,0.23736,0.03279173066491002,0.00000000063,50.128,,29.858,[E1],,,7.73,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.60,10,88,135,Ra,1-May-2001,E. BROWNE,2025-12-15
20.94,0.05,0.00258,0.006453750847375501,,445.071,,424.12,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.60,10,88,135,Ra,1-May-2001,E. BROWNE,2025-12-15
22,0.2,0.00903,0.00906276999597805,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.60,10,88,135,Ra,1-May-2001,E. BROWNE,2025-12-15
24.13,0.05,0.08772,0.009876887161449199,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.60,10,88,135,Ra,1-May-2001,E. BROWNE,2025-12-15
27.41,0.09,0.02967,0.005746868712612112,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.60,10,88,135,Ra,1-May-2001,E. BROWNE,2025-12-15
29.6,0.03,0.00516,0.0004400302553234266,0.00000000024,79.708,0.00000000063,50.128,[M1+E2],1.3,AP,2078,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.60,10,88,135,Ra,1-May-2001,E. BROWNE,2025-12-15
29.86,0.01,0.07611,0.012191082806707533,,29.858,987552,0.0,M1+E2,0.41,10,5.4E2,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.60,10,88,135,Ra,1-May-2001,E. BROWNE,2025-12-15
31.58,0.01,0.06837,0.01185290259809807,0.0000000006,61.424,,29.858,M1+E2,0.28,6,272,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.60,10,88,135,Ra,1-May-2001,E. BROWNE,2025-12-15
