energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
265.6,0.5,51,0.051,0.00000000229,265.6,252.12,0.0,E2,,,0.1607,,83,127,Bi,,271.31,0.11,9-,3.04E+6,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2025-12-15
265.832,0.005,,,0.00000000229,265.832,252.12,0,E2,,,0.1602,,83,127,Bi,,0,,1-,5.012,,5,d,433036.8,432,A,0.000132,0.00001,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2025-12-15
304.6,0.5,28.05,0.028050000000000002,0.0000000000042,304.9,252.12,0.0,M1,,,0.376,,83,127,Bi,,271.31,0.11,9-,3.04E+6,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2025-12-15
304.896,0.006,,,0.0000000000042,304.896,252.12,0,M1,,,0.375,,83,127,Bi,,0,,1-,5.012,,5,d,433036.8,432,A,0.000132,0.00001,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2025-12-15
329.6,0.5,0.663,0.000663,,634.5,0.0000000000042,304.9,M1,,,0.303,,83,127,Bi,,271.31,0.11,9-,3.04E+6,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2025-12-15
344.3,0.5,0.714,0.000714,,649.4,0.0000000000042,304.9,M1,,,0.270,,83,127,Bi,,271.31,0.11,9-,3.04E+6,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2025-12-15
368.9,0.5,0.663,0.000663,,634.5,0.00000000229,265.6,M1,,,0.224,,83,127,Bi,,271.31,0.11,9-,3.04E+6,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2025-12-15
384,1,0.00561,0.00000561,,649.4,0.00000000229,265.6,[M1],,,0.201,,83,127,Bi,,271.31,0.11,9-,3.04E+6,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2025-12-15
535.5,0.5,0.255,0.000255,,801.1,0.00000000229,265.6,[M1],,,0.0830,,83,127,Bi,,271.31,0.11,9-,3.04E+6,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2025-12-15
634.3,0.7,0.0102,0.0000102,,634.5,252.12,0.0,[E2],,,0.01624,,83,127,Bi,,271.31,0.11,9-,3.04E+6,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2025-12-15
649.6,0.5,3.417,0.003417,,649.4,252.12,0.0,M1,,,0.0501,,83,127,Bi,,271.31,0.11,9-,3.04E+6,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2025-12-15
686,1,0.00612,0.00000612,,951.6,0.00000000229,265.6,[E2],,,0.01369,,83,127,Bi,,271.31,0.11,9-,3.04E+6,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2025-12-15
