energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
9.183,,,,,9.21,1027809078992.4614,0.0,,,,,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
17.195,0.021,0.28,0.1,0.0000000007,101.408,0.0000000451,84.2153,(M1),,,166,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
18.055,0.018,0.095,0.034,0.0000000007,102.2685,0.0000000451,84.2153,M1+E2,0.040,9,218,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
25.65,0.02,13.74,0.29,0.0000000451,84.2153,0.000000000274,58.570,E1,,,4.8,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
42.81,0.05,0.0605,0.0016,0.0000000007,101.408,0.000000000274,58.570,[E1],,,1.136,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
44.08,0.17,0.00075,0.00027,,218.244,,174.160,[M1+E2],,,3.3E+2,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
53.2,0.8,0.48,0.06,,111.648,0.000000000274,58.570,[E1],,,0.64,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
58.57,0.0027,0.471,0.014,0.000000000274,58.570,1027809078992.4614,0.0,E2,,,155.5,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
63.86,0.03,0.023,0.004,,247.320,0.00000000019,183.496,M1+E2,0.6,3,39,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
68.5,0.1,0.00598,0.00029,,77.694,,9.21,E2,,,73.3,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
72.751,0.0029,0.26,0.007,,174.160,0.0000000007,101.408,[E1],,,0.280,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
73,0.1,0.0068,0.0027218376145538145,,247.320,,174.160,[E1],,,0.277,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
77.69,,0.0043,0.0007,,77.694,1027809078992.4614,0.0,[M1+E2],,,24,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
81.228,0.0021,0.904,0.034,0.00000000019,183.4955,0.0000000007,102.2685,M1(+E2),0.00,8,7.66,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
82.087,0.0022,0.422,0.021,0.00000000019,183.4955,0.0000000007,101.408,M1(+E2),0.04,6,7.47,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
84.214,0.0022,6.8,0.1,0.0000000451,84.2153,1027809078992.4614,0.0,E1,,,2.8,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
89.95,0.02,1.02,0.034,,174.160,0.0000000451,84.2153,(E1),,,0.1598,,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-12-15
