Data,Energy
1,2797.13
0,2806.99
1,2816.89
0,2826.82
0,2836.78
0,2846.78
1,2856.8
1,2866.85
1,2876.94
0,2887.06
0,2897.2
0,2907.38
0,2917.59
0,2927.84
1,2938.11
1,2948.42
1,2958.76
1,2969.12
0,2979.53
0,2989.96
0,3000.43
0,3010.93
0,3021.46
0,3032.02
0,3042.62
1,3053.24
0,3063.91
0,3074.6
0,3085.33
0,3096.09
1,3106.88
1,3117.71
0,3128.56
0,3139.46
0,3150.38
0,3161.34
0,3172.34
0,3183.36
0,3194.42
0,3205.52
0,3216.64
0,3227.81
0,3239
0,3250.23
0,3261.5
1,3272.79
1,3284.13
0,3295.49
0,3306.9
0,3318.33
0,3329.8
0,3341.31
0,3352.85
0,3364.43
0,3376.04
0,3387.68
0,3399.36
0,3411.08
0,3422.83
0,3434.62
1,3446.44
0,3458.3
0,3470.2
0,3482.13
0,3494.09
0,3506.09
0,3518.13
0,3530.21
0,3542.32
1,3554.46
1,3566.64
0,3578.86
0,3591.12
0,3603.41
0,3615.74
0,3628.11
0,3640.51
0,3652.95
0,3665.43
0,3677.94
0,3690.49
0,3703.08
0,3715.71
0,3728.37
0,3741.07
0,3753.81
0,3766.58
0,3779.4
1,3792.25
0,3805.14
0,3818.07
0,3831.03
0,3844.04
0,3857.08
0,3870.16
0,3883.28
0,3896.44
0,3909.64
0,3922.87
0,3936.15
0,3949.46
0,3962.81
0,3976.2
0,3989.63
1,4003.1
2,4016.61
1,4030.16
0,4043.74
0,4057.37
0,4071.04
0,4084.74
0,4098.49
0,4112.28
0,4126.1
1,4139.97
1,4153.87
0,4167.82
0,4181.81
0,4195.83
0,4209.9
1,4224.01
1,4238.16
0,4252.35
0,4266.58
0,4280.85
0,4295.16
0,4309.51
0,4323.91
0,4338.34
0,4352.82
0,4367.34
0,4381.9
0,4396.5
0,4411.14
1,4425.82
1,4440.55
0,4455.32
0,4470.13
0,4484.98
0,4499.87
0,4514.81
0,4529.79
0,4544.81
0,4559.87
0,4574.98
1,4590.13
2,4605.32
1,4620.55
0,4635.83
0,4651.15
0,4666.52
0,4681.92
1,4697.37
0,4712.86
0,4728.4
0,4743.98
0,4759.6
0,4775.27
0,4790.98
0,4806.73
0,4822.53
0,4838.38
0,4854.26
0,4870.19
0,4886.17
0,4902.19
0,4918.25
1,4934.36
1,4950.51
0,4966.71
0,4982.95
0,4999.23
0,5015.56
0,5031.94
0,5048.36
1,5064.83
1,5081.34
0,5097.9
0,5114.5
0,5131.15
0,5147.84
0,5164.58
0,5181.37
0,5198.2
0,5215.07
0,5232
