Data,Energy
1,1778.7
0,1784.91
0,1791.14
1,1797.38
1,1803.63
0,1809.9
1,1816.18
1,1822.48
1,1828.8
1,1835.12
0,1841.47
0,1847.83
0,1854.2
0,1860.59
0,1866.99
0,1873.41
0,1879.84
0,1886.29
0,1892.75
0,1899.23
0,1905.72
0,1912.23
1,1918.75
1,1925.29
0,1931.84
0,1938.41
0,1944.99
0,1951.59
0,1958.2
1,1964.83
1,1971.48
0,1978.14
0,1984.81
1,1991.5
0,1998.21
0,2004.93
0,2011.67
0,2018.42
0,2025.18
1,2031.97
2,2038.77
1,2045.58
1,2052.41
1,2059.25
0,2066.11
0,2072.99
0,2079.88
0,2086.79
0,2093.71
0,2100.65
0,2107.61
0,2114.58
0,2121.56
0,2128.56
0,2135.58
0,2142.62
1,2149.67
1,2156.73
0,2163.81
0,2170.91
0,2178.02
0,2185.15
0,2192.3
0,2199.46
0,2206.64
0,2213.83
1,2221.04
1,2228.26
0,2235.51
0,2242.76
1,2250.04
1,2257.33
0,2264.63
0,2271.96
0,2279.3
2,2286.65
2,2294.02
0,2301.41
0,2308.82
0,2316.24
0,2323.67
0,2331.13
0,2338.6
0,2346.08
0,2353.59
0,2361.11
0,2368.64
0,2376.2
0,2383.77
0,2391.35
0,2398.96
0,2406.58
0,2414.21
0,2421.86
0,2429.53
0,2437.22
0,2444.92
0,2452.64
1,2460.38
2,2468.14
1,2475.91
0,2483.69
0,2491.5
1,2499.32
1,2507.16
0,2515.01
0,2522.89
1,2530.78
1,2538.68
1,2546.61
1,2554.55
1,2562.5
2,2570.48
1,2578.47
0,2586.48
1,2594.51
1,2602.55
2,2610.61
1,2618.69
0,2626.79
0,2634.9
0,2643.03
0,2651.18
0,2659.35
1,2667.53
1,2675.73
0,2683.95
0,2692.18
0,2700.44
0,2708.71
0,2717
0,2725.3
0,2733.62
0,2741.97
0,2750.32
0,2758.7
1,2767.09
1,2775.51
0,2783.94
0,2792.38
1,2800.85
2,2809.33
2,2817.83
1,2826.35
0,2834.89
0,2843.44
0,2852.02
0,2860.61
0,2869.21
0,2877.84
0,2886.49
1,2895.15
1,2903.83
0,2912.53
0,2921.24
0,2929.98
0,2938.73
0,2947.51
0,2956.29
0,2965.1
0,2973.93
0,2982.77
0,2991.64
0,3000.52
0,3009.42
0,3018.34
0,3027.27
0,3036.23
0,3045.2
0,3054.19
0,3063.2
0,3072.23
1,3081.28
1,3090.35
1,3099.43
1,3108.53
0,3117.66
0,3126.8
1,3135.95
1,3145.13
0,3154.33
0,3163.55
0,3172.78
0,3182.03
0,3191.3
0,3200.59
0,3209.9
0,3219.23
0,3228.58
0,3237.95
0,3247.33
0,3256.74
0,3266.16
0,3275.6
0,3285.06
0,3294.54
0,3304.04
0,3313.56
0,3323.1
0,3332.66
1,3342.23
1,3351.83
0,3361.44
0,3371.08
0,3380.73
0,3390.4
0,3400.1
0,3409.81
0,3419.54
0,3429.29
0,3439.06
0,3448.85
0,3458.66
0,3468.48
1,3478.33
2,3488.2
1,3498.09
0,3507.99
0,3517.92
0,3527.86
0,3537.83
1,3547.81
1,3557.82
0,3567.84
0,3577.89
0,3587.95
0,3598.03
0,3608.14
0,3618.26
0,3628.4
0,3638.57
0,3648.75
0,3658.95
0,3669.18
1,3679.42
1,3689.68
0,3699.96
0,3710.27
0,3720.59
0,3730.93
0,3741.3
0,3751.68
0,3762.08
0,3772.51
0,3782.95
0,3793.42
0,3803.9
0,3814.4
0,3824.93
0,3835.47
0,3846.04
1,3856.63
1,3867.23
0,3877.86
0,3888.51
0,3899.18
0,3909.86
0,3920.57
0,3931.3
0,3942.05
0,3952.82
0,3963.61
0,3974.43
0,3985.26
0,3996.11
0,4006.99
0,4017.88
1,4028.8
1,4039.73
0,4050.69
1,4061.67
1,4072.67
0,4083.68
0,4094.72
0,4105.79
0,4116.87
0,4127.97
0,4139.1
0,4150.24
0,4161.41
0,4172.59
0,4183.8
0,4195.03
0,4206.28
0,4217.55
0,4228.85
0,4240.16
0,4251.5
0,4262.85
0,4274.23
0,4285.63
0,4297.05
0,4308.49
0,4319.95
0,4331.44
0,4342.94
0,4354.47
0,4366.02
0,4377.59
0,4389.18
0,4400.79
0,4412.43
0,4424.08
0,4435.76
0,4447.46
0,4459.18
0,4470.92
0,4482.69
0,4494.47
0,4506.28
0,4518.11
0,4529.96
0,4541.84
0,4553.73
0,4565.65
0,4577.59
0,4589.55
0,4601.53
0,4613.53
0,4625.56
0,4637.61
0,4649.68
0,4661.77
0,4673.88
0,4686.02
0,4698.18
0,4710.36
0,4722.56
0,4734.78
0,4747.03
0,4759.3
0,4771.59
0,4783.91
0,4796.24
0,4808.6
0,4820.98
0,4833.38
0,4845.81
0,4858.26
0,4870.73
0,4883.22
0,4895.73
0,4908.27
0,4920.83
0,4933.41
0,4946.02
0,4958.64
0,4971.29
0,4983.97
0,4996.66
0,5009.38
0,5022.12
0,5034.88
0,5047.67
0,5060.48
0,5073.31
0,5086.17
0,5099.04
0,5111.94
0,5124.87
0,5137.81
0,5150.78
0,5163.77
0,5176.79
0,5189.83
0,5202.89
0,5215.97
0,5229.08
0,5242.21
0,5255.36
0,5268.54
0,5281.74
0,5294.96
0,5308.2
0,5321.47
0,5334.76
0,5348.08
0,5361.42
0,5374.78
0,5388.17
0,5401.58
0,5415.01
0,5428.46
0,5441.94
0,5455.44
0,5468.97
0,5482.52
0,5496.09
0,5509.69
0,5523.31
0,5536.95
0,5550.62
0,5564.31
0,5578.02
0,5591.76
0,5605.53
0,5619.31
0,5633.12
0,5646.95
0,5660.81
0,5674.69
0,5688.6
0,5702.52
0,5716.48
0,5730.45
0,5744.45
0,5758.48
0,5772.53
0,5786.6
0,5800.69
0,5814.81
0,5828.96
0,5843.13
0,5857.32
0,5871.54
0,5885.78
0,5900.04
0,5914.33
0,5928.65
0,5942.98
0,5957.34
0,5971.73
0,5986.14
0,6000.58
0,6015.04
0,6029.52
0,6044.03
0,6058.56
0,6073.12
0,6087.7
0,6102.31
0,6116.94
0,6131.59
0,6146.27
0,6160.98
0,6175.71
0,6190.46
0,6205.24
0,6220.04
0,6234.87
0,6249.72
0,6264.6
0,6279.5
0,6294.43
0,6309.38
0,6324.36
0,6339.36
0,6354.38
0,6369.44
0,6384.51
0,6399.61
0,6414.74
0,6429.89
0,6445.07
0,6460.27
0,6475.5
0,6490.75
0,6506.02
0,6521.33
0,6536.65
0,6552.01
0,6567.38
0,6582.79
0,6598.21
0,6613.67
0,6629.15
0,6644.65
0,6660.18
0,6675.73
0,6691.31
0,6706.92
0,6722.55
0,6738.21
0,6753.89
0,6769.6
0,6785.33
0,6801.09
0,6816.88
0,6832.69
0,6848.52
0,6864.38
0,6880.27
0,6896.18
0,6912.12
0,6928.08
0,6944.08
0,6960.09
0,6976.13
0,6992.2
0,7008.29
0,7024.41
0,7040.56
0,7056.73
0,7072.93
0,7089.15
0,7105.4
0,7121.67
0,7137.98
0,7154.3
0,7170.66
0,7187.04
0,7203.44
0,7219.87
0,7236.33
0,7252.82
0,7269.33
0,7285.86
0,7302.43
0,7319.02
0,7335.63
0,7352.27
0,7368.94
0,7385.64
0,7402.36
0,7419.11
0,7435.88
0,7452.68
0,7469.51
