Data,Energy
0,23.44
0,28.27
0,33.09
0,37.9
1,42.7
3,47.49
7,52.28
14,57.05
23,61.81
33,66.56
51,71.31
88,76.04
130,80.77
200,85.49
251,90.19
249,94.89
268,99.58
239,104.26
220,108.94
214,113.6
229,118.26
173,122.9
143,127.54
157,132.17
154,136.8
140,141.41
119,146.02
125,150.62
130,155.21
138,159.79
157,164.37
154,168.94
139,173.5
181,178.06
162,182.6
152,187.14
147,191.67
153,196.2
165,200.72
168,205.23
146,209.73
106,214.23
110,218.72
95,223.21
78,227.69
78,232.16
65,236.63
56,241.09
45,245.54
28,249.99
29,254.43
39,258.87
18,263.3
28,267.72
36,272.14
37,276.55
27,280.96
27,285.37
24,289.76
29,294.16
23,298.54
22,302.93
25,307.3
17,311.68
26,316.04
25,320.41
20,324.77
15,329.12
4,333.47
20,337.81
14,342.16
11,346.49
12,350.82
9,355.15
10,359.48
10,363.8
9,368.12
6,372.43
18,376.74
11,381.05
3,385.35
11,389.65
10,393.95
4,398.24
13,402.53
14,406.82
16,411.1
11,415.38
8,419.66
9,423.94
4,428.21
4,432.48
10,436.75
9,441.02
8,445.28
8,449.54
9,453.8
12,458.06
4,462.32
6,466.57
6,470.82
1,475.07
8,479.32
6,483.57
4,487.82
2,492.06
8,496.3
4,500.55
9,504.79
7,509.03
1,513.27
7,517.5
6,521.74
5,525.98
6,530.22
5,534.45
0,538.69
9,542.92
3,547.16
3,551.39
4,555.63
10,559.86
4,564.1
4,568.33
2,572.57
5,576.8
3,581.04
3,585.28
5,589.51
4,593.75
3,597.99
5,602.23
1,606.47
4,610.71
3,614.95
4,619.19
3,623.44
3,627.69
5,631.93
4,636.18
5,640.43
4,644.68
4,648.94
7,653.19
2,657.45
1,661.71
3,665.97
2,670.24
2,674.5
5,678.77
4,683.04
3,687.32
2,691.59
4,695.87
4,700.15
5,704.44
4,708.73
6,713.02
1,717.31
2,721.61
5,725.91
7,730.21
5,734.52
8,738.83
6,743.14
7,747.46
7,751.78
3,756.1
5,760.43
4,764.76
3,769.1
4,773.44
2,777.79
4,782.14
1,786.49
3,790.85
0,795.21
4,799.58
1,803.95
4,808.33
2,812.71
2,817.1
4,821.49
1,825.89
1,830.29
1,834.7
0,839.12
0,843.54
