Data,Energy
1,2787.29
1,2797.13
1,2806.99
0,2816.89
2,2826.82
2,2836.78
1,2846.78
1,2856.8
1,2866.85
1,2876.94
1,2887.06
3,2897.2
1,2907.38
0,2917.59
0,2927.84
1,2938.11
1,2948.42
1,2958.76
2,2969.12
1,2979.53
0,2989.96
1,3000.43
1,3010.93
0,3021.46
0,3032.02
0,3042.62
0,3053.24
0,3063.91
1,3074.6
1,3085.33
0,3096.09
0,3106.88
0,3117.71
0,3128.56
1,3139.46
1,3150.38
0,3161.34
0,3172.34
0,3183.36
0,3194.42
0,3205.52
0,3216.64
1,3227.81
1,3239
1,3250.23
0,3261.5
1,3272.79
1,3284.13
1,3295.49
1,3306.9
1,3318.33
2,3329.8
1,3341.31
1,3352.85
1,3364.43
0,3376.04
0,3387.68
0,3399.36
0,3411.08
0,3422.83
1,3434.62
1,3446.44
0,3458.3
0,3470.2
0,3482.13
0,3494.09
0,3506.09
0,3518.13
1,3530.21
1,3542.32
0,3554.46
0,3566.64
0,3578.86
0,3591.12
0,3603.41
0,3615.74
0,3628.11
0,3640.51
0,3652.95
2,3665.43
0,3677.94
0,3690.49
1,3703.08
2,3715.71
2,3728.37
1,3741.07
0,3753.81
0,3766.58
1,3779.4
1,3792.25
0,3805.14
0,3818.07
0,3831.03
1,3844.04
0,3857.08
0,3870.16
1,3883.28
1,3896.44
2,3909.64
2,3922.87
1,3936.15
1,3949.46
1,3962.81
0,3976.2
0,3989.63
0,4003.1
0,4016.61
0,4030.16
0,4043.74
0,4057.37
1,4071.04
1,4084.74
0,4098.49
0,4112.28
0,4126.1
0,4139.97
0,4153.87
0,4167.82
0,4181.81
0,4195.83
1,4209.9
0,4224.01
0,4238.16
0,4252.35
1,4266.58
0,4280.85
0,4295.16
0,4309.51
1,4323.91
1,4338.34
0,4352.82
0,4367.34
0,4381.9
0,4396.5
0,4411.14
0,4425.82
0,4440.55
0,4455.32
0,4470.13
0,4484.98
0,4499.87
0,4514.81
0,4529.79
0,4544.81
0,4559.87
0,4574.98
0,4590.13
1,4605.32
1,4620.55
0,4635.83
1,4651.15
1,4666.52
1,4681.92
1,4697.37
0,4712.86
0,4728.4
0,4743.98
0,4759.6
0,4775.27
0,4790.98
1,4806.73
1,4822.53
2,4838.38
2,4854.26
1,4870.19
0,4886.17
0,4902.19
0,4918.25
1,4934.36
1,4950.51
0,4966.71
0,4982.95
0,4999.23
0,5015.56
0,5031.94
0,5048.36
1,5064.83
2,5081.34
1,5097.9
0,5114.5
0,5131.15
0,5147.84
1,5164.58
1,5181.37
1,5198.2
1,5215.07
0,5232
0,5248.96
0,5265.98
1,5283.04
1,5300.15
0,5317.3
0,5334.5
0,5351.75
1,5369.04
1,5386.38
0,5403.77
1,5421.2
1,5438.68
1,5456.21
1,5473.78
0,5491.4
1,5509.07
1,5526.79
0,5544.56
0,5562.37
1,5580.23
1,5598.13
0,5616.09
0,5634.09
0,5652.14
1,5670.24
1,5688.39
1,5706.58
0,5724.83
0,5743.12
1,5761.46
2,5779.85
1,5798.28
0,5816.77
1,5835.31
2,5853.89
2,5872.52
0,5891.2
1,5909.94
1,5928.72
1,5947.55
0,5966.42
0,5985.35
1,6004.33
0,6023.36
0,6042.44
0,6061.56
0,6080.74
0,6099.97
0,6119.24
1,6138.57
1,6157.95
1,6177.38
2,6196.85
1,6216.38
0,6235.96
0,6255.59
0,6275.27
0,6295.01
0,6314.79
0,6334.62
0,6354.5
0,6374.44
1,6394.43
2,6414.46
2,6434.55
1,6454.7
0,6474.89
0,6495.13
0,6515.43
0,6535.77
0,6556.17
1,6576.63
2,6597.13
1,6617.69
0,6638.29
0,6658.95
1,6679.67
1,6700.43
0,6721.25
2,6742.12
2,6763.04
2,6784.02
1,6805.05
1,6826.13
2,6847.26
1,6868.45
1,6889.69
2,6910.99
2,6932.33
2,6953.74
2,6975.19
2,6996.7
2,7018.26
2,7039.88
1,7061.55
0,7083.27
0,7105.05
0,7126.88
0,7148.77
0,7170.71
0,7192.7
0,7214.75
1,7236.86
1,7259.02
0,7281.23
0,7303.5
1,7325.82
0,7348.2
0,7370.63
0,7393.12
1,7415.66
1,7438.26
0,7460.92
0,7483.63
0,7506.39
0,7529.21
0,7552.09
0,7575.02
0,7598.01
1,7621.06
3,7644.16
1,7667.31
1,7690.53
0,7713.8
1,7737.12
2,7760.5
2,7783.94
1,7807.44
0,7830.99
0,7854.6
0,7878.26
0,7901.99
1,7925.77
1,7949.6
0,7973.5
0,7997.45
0,8021.46
0,8045.52
1,8069.65
1,8093.83
0,8118.07
0,8142.37
1,8166.72
1,8191.13
2,8215.6
1,8240.13
0,8264.72
0,8289.37
1,8314.07
1,8338.83
0,8363.66
0,8388.54
0,8413.47
0,8438.47
0,8463.53
1,8488.64
1,8513.82
1,8539.05
0,8564.34
0,8589.7
1,8615.11
1,8640.58
0,8666.11
0,8691.7
0,8717.35
0,8743.06
0,8768.83
0,8794.66
0,8820.55
0,8846.5
0,8872.51
0,8898.58
1,8924.71
1,8950.9
0,8977.15
0,9003.46
0,9029.84
0,9056.27
0,9082.77
1,9109.32
1,9135.94
0,9162.62
0,9189.36
0,9216.16
1,9243.02
1,9269.94
0,9296.93
0,9323.97
0,9351.08
0,9378.25
1,9405.49
1,9432.78
0,9460.14
0,9487.56
0,9515.04
1,9542.58
0,9570.19
0,9597.85
0,9625.58
1,9653.38
1,9681.23
0,9709.15
1,9737.13
2,9765.18
1,9793.29
0,9821.46
0,9849.69
0,9877.99
1,9906.35
1,9934.77
1,9963.26
1,9991.81
0,10020.43
1,10049.11
1,10077.85
0,10106.66
1,10135.53
0,10164.46
0,10193.46
1,10222.53
0,10251.65
0,10280.85
0,10310.11
1,10339.43
1,10368.81
1,10398.26
1,10427.78
1,10457.36
0,10487.01
0,10516.72
0,10546.5
0,10576.34
1,10606.25
2,10636.22
2,10666.26
2,10696.36
1,10726.54
0,10756.77
0,10787.07
1,10817.44
1,10847.87
0,10878.37
0,10908.94
1,10939.57
1,10970.27
1,11001.04
0,11031.87
0,11062.77
0,11093.73
0,11124.77
0,11155.86
0,11187.03
0,11218.26
0,11249.56
0,11280.93
1,11312.37
2,11343.87
1,11375.44
0,11407.08
1,11438.78
1,11470.55
0,11502.39
0,11534.3
0,11566.28
1,11598.33
0,11630.44
0,11662.62
0,11694.87
0,11727.19
2,11759.57
2,11792.03
1,11824.55
0,11857.14
0,11889.8
0,11922.54
0,11955.33
0,11988.2
0,12021.14
1,12054.15
1,12087.22
0,12120.37
0,12153.58
