Data,Energy
2,2709.68
3,2719.27
2,2728.9
2,2738.55
1,2748.24
1,2757.96
2,2767.7
1,2777.48
1,2787.29
2,2797.13
1,2806.99
0,2816.89
1,2826.82
2,2836.78
3,2846.78
2,2856.8
1,2866.85
2,2876.94
2,2887.06
2,2897.2
2,2907.38
1,2917.59
0,2927.84
1,2938.11
1,2948.42
0,2958.76
1,2969.12
1,2979.53
0,2989.96
1,3000.43
2,3010.93
2,3021.46
1,3032.02
0,3042.62
0,3053.24
1,3063.91
1,3074.6
1,3085.33
1,3096.09
0,3106.88
1,3117.71
1,3128.56
0,3139.46
0,3150.38
0,3161.34
0,3172.34
0,3183.36
1,3194.42
2,3205.52
2,3216.64
0,3227.81
1,3239
1,3250.23
0,3261.5
0,3272.79
0,3284.13
1,3295.49
1,3306.9
0,3318.33
0,3329.8
0,3341.31
0,3352.85
0,3364.43
0,3376.04
0,3387.68
0,3399.36
1,3411.08
1,3422.83
0,3434.62
0,3446.44
1,3458.3
1,3470.2
1,3482.13
1,3494.09
0,3506.09
0,3518.13
0,3530.21
0,3542.32
0,3554.46
0,3566.64
0,3578.86
0,3591.12
0,3603.41
0,3615.74
0,3628.11
0,3640.51
0,3652.95
0,3665.43
0,3677.94
0,3690.49
0,3703.08
0,3715.71
0,3728.37
0,3741.07
0,3753.81
1,3766.58
1,3779.4
0,3792.25
0,3805.14
0,3818.07
0,3831.03
0,3844.04
1,3857.08
1,3870.16
0,3883.28
0,3896.44
0,3909.64
0,3922.87
0,3936.15
0,3949.46
0,3962.81
0,3976.2
0,3989.63
0,4003.1
0,4016.61
0,4030.16
0,4043.74
1,4057.37
1,4071.04
0,4084.74
0,4098.49
0,4112.28
0,4126.1
0,4139.97
0,4153.87
0,4167.82
1,4181.81
0,4195.83
0,4209.9
0,4224.01
0,4238.16
0,4252.35
0,4266.58
0,4280.85
0,4295.16
0,4309.51
0,4323.91
0,4338.34
0,4352.82
0,4367.34
0,4381.9
0,4396.5
0,4411.14
0,4425.82
0,4440.55
0,4455.32
0,4470.13
0,4484.98
0,4499.87
0,4514.81
0,4529.79
